0;0.844974
1;0.853495
2;0.725471
3;0.753434
4;0.763376
5;0.784966
6;0.811825
7;0.820459
8;0.845765
9;0.859627
10;0.872608
11;0.879286
12;0.747393
13;0.769174
14;0.775604
15;0.791165
16;0.813218
17;0.821093
18;0.842417
19;0.852202
20;0.862983
21;0.869246
22;0.738859
23;0.758324
24;0.763059
25;0.775957
26;0.796733
27;0.804522
28;0.825076
29;0.833011
30;0.843297
31;0.849534
32;0.722104
33;0.740403
34;0.744027
35;0.755281
36;0.775784
37;0.783662
38;0.804355
39;0.811125
40;0.821383
41;0.827686
42;0.703533
43;0.721029
44;0.723763
45;0.733709
46;0.754215
47;0.762215
48;0.783291
49;0.789133
50;0.799472
51;0.805847
52;0.684970
53;0.701797
54;0.703754
55;0.712529
56;0.733103
57;0.741217
58;0.762730
59;0.767748
60;0.778177
61;0.784607
62;0.666916
63;0.683141
64;0.684399
65;0.692078
66;0.712726
67;0.720938
68;0.742884
69;0.747144
70;0.757641
71;0.764109
72;0.649493
73;0.665158
74;0.665782
75;0.672424
76;0.693134
77;0.701425
78;0.723788
79;0.727338
80;0.737879
81;0.744366
82;0.632711
83;0.647853
84;0.647901
85;0.653555
86;0.674312
87;0.682664
88;0.705422
89;0.708309
90;0.718867
91;0.725354
92;0.616551
93;0.631203
94;0.630726
95;0.635441
96;0.656228
97;0.664625
98;0.687756
99;0.690020
100;0.700570
101;0.707044
102;0.600988
103;0.615180
104;0.614226
105;0.618044
106;0.638848
107;0.647274
108;0.670757
109;0.672438
110;0.682956
111;0.689404
112;0.585993
113;0.599753
114;0.598367
115;0.601332
116;0.622138
117;0.630578
118;0.654393
119;0.655526
120;0.665991
121;0.672401
122;0.571541
123;0.584895
124;0.583118
125;0.585268
126;0.606063
127;0.614505
128;0.638632
129;0.639253
130;0.649644
131;0.656007
132;0.557606
133;0.570580
134;0.568449
135;0.569822
136;0.590594
137;0.599026
138;0.623446
139;0.623587
140;0.633886
141;0.640193
142;0.544164
143;0.556780
144;0.554332
145;0.554964
146;0.575701
147;0.584113
148;0.608808
149;0.608498
150;0.618688
151;0.624933
152;0.531193
153;0.543473
154;0.540739
155;0.540666
156;0.561356
157;0.569738
158;0.594691
159;0.593960
160;0.604025
161;0.610202
162;0.518672
163;0.530637
164;0.527646
165;0.526899
166;0.547534
167;0.555876
168;0.581071
169;0.579946
170;0.589872
171;0.595976
172;0.506580
173;0.518248
174;0.515029
175;0.513640
176;0.534210
177;0.542505
178;0.567925
179;0.566432
180;0.576206
181;0.582233
182;0.494898
183;0.506288
184;0.502866
185;0.500864
186;0.521360
187;0.529601
188;0.555231
189;0.553395
190;0.563004
191;0.568951
192;0.483608
193;0.494737
194;0.491135
195;0.488549
196;0.508964
197;0.517143
198;0.542969
199;0.540812
200;0.550247
201;0.556111
202;0.472694
203;0.483577
204;0.479816
205;0.476673
206;0.496999
207;0.505112
208;0.531120
209;0.528663
210;0.537913
211;0.543693
212;0.462139
213;0.472790
214;0.468891
215;0.465217
216;0.485447
217;0.493488
218;0.519665
219;0.516928
220;0.525986
221;0.531679
222;0.451927
223;0.462362
224;0.458342
225;0.454161
226;0.474289
227;0.482253
228;0.508586
229;0.505590
230;0.514446
231;0.520053
232;0.442045
233;0.452275
234;0.448152
235;0.443488
236;0.463508
237;0.471391
238;0.497868
239;0.494630
240;0.503278
241;0.508798
242;0.432478
243;0.442516
244;0.438305
245;0.433180
246;0.453086
247;0.460885
248;0.487495
249;0.484032
250;0.492466
251;0.497898
252;0.423213
253;0.433071
254;0.428786
255;0.423221
256;0.443010
257;0.450720
258;0.477452
259;0.473780
260;0.481995
261;0.487339
262;0.414239
263;0.423926
264;0.419580
265;0.413596
266;0.433262
267;0.440883
268;0.467725
269;0.463860
270;0.471850
271;0.477108
272;0.405542
273;0.415070
274;0.410674
275;0.404291
276;0.423831
277;0.431358
278;0.458301
279;0.454257
280;0.462019
281;0.467191
282;0.397112
283;0.406490
284;0.402056
285;0.395292
286;0.414701
287;0.422133
288;0.449168
289;0.444958
290;0.452489
291;0.457575
292;0.388939
293;0.398175
294;0.393712
295;0.386586
296;0.405861
297;0.413196
298;0.440313
299;0.435951
300;0.443247
301;0.448249
302;0.381012
303;0.390114
304;0.385632
305;0.378160
306;0.397299
307;0.404536
308;0.431726
309;0.427224
310;0.434283
311;0.439201
312;0.373321
313;0.382298
314;0.377805
315;0.370003
316;0.389003
317;0.396140
318;0.423396
319;0.418764
320;0.425584
321;0.430421
322;0.365858
323;0.374716
324;0.370220
325;0.362104
326;0.380962
327;0.387998
328;0.415312
329;0.410562
330;0.417142
331;0.421898
332;0.358613
333;0.367360
334;0.362867
335;0.354452
336;0.373166
337;0.380101
338;0.407465
339;0.402607
340;0.408945
341;0.413623
342;0.351579
343;0.360220
344;0.355737
345;0.347037
346;0.365605
347;0.372439
348;0.399845
349;0.394889
350;0.400986
351;0.405585
352;0.344748
353;0.353289
354;0.348821
355;0.339850
356;0.358271
357;0.365002
358;0.392444
359;0.387399
360;0.393254
361;0.397777
362;0.338111
363;0.346558
364;0.342110
365;0.332882
366;0.351153
367;0.357783
368;0.385254
369;0.380128
370;0.385741
371;0.390190
372;0.331662
373;0.340020
374;0.335597
375;0.326123
376;0.344245
377;0.350772
378;0.378266
379;0.373068
380;0.378440
381;0.382816
382;0.325394
383;0.333668
384;0.329274
385;0.319566
386;0.337537
387;0.343962
388;0.371474
389;0.366210
390;0.371342
391;0.375647
392;0.319300
393;0.327494
394;0.323133
395;0.313204
396;0.331022
397;0.337345
398;0.364869
399;0.359548
400;0.364440
401;0.368675
402;0.313374
403;0.321493
404;0.317168
405;0.307027
406;0.324693
407;0.330915
408;0.358445
409;0.353073
410;0.357727
411;0.361894
412;0.307610
413;0.315657
414;0.311372
415;0.301030
416;0.318544
417;0.324664
418;0.352196
419;0.346779
420;0.351196
421;0.355297
422;0.302002
423;0.309982
424;0.305738
425;0.295206
426;0.312566
427;0.318586
428;0.346114
429;0.340659
430;0.344841
431;0.348877
432;0.296546
433;0.304460
434;0.300261
435;0.289548
436;0.306754
437;0.312675
438;0.340195
439;0.334707
440;0.338657
441;0.342629
442;0.291235
443;0.299088
444;0.294934
445;0.284050
446;0.301103
447;0.306925
448;0.334432
449;0.328917
450;0.332636
451;0.336546
452;0.286064
453;0.293859
454;0.289753
455;0.278706
456;0.295605
457;0.301329
458;0.328820
459;0.323283
460;0.326773
461;0.330623
462;0.281030
463;0.288769
464;0.284712
465;0.273511
466;0.290257
467;0.295884
468;0.323354
469;0.317800
470;0.321063
471;0.324855
472;0.276127
473;0.283812
474;0.279806
475;0.268459
476;0.285052
477;0.290583
478;0.318029
479;0.312462
480;0.315502
481;0.319236
482;0.271350
483;0.278985
484;0.275030
485;0.263545
486;0.279985
487;0.285421
488;0.312839
489;0.307264
490;0.310083
491;0.313761
492;0.266697
493;0.274283
494;0.270380
495;0.258764
496;0.275052
497;0.280394
498;0.307781
499;0.302202
500;0.304802
501;0.308426
502;0.262162
503;0.269701
504;0.265851
505;0.254112
506;0.270248
507;0.275497
508;0.302850
509;0.297270
510;0.299655
511;0.303225
512;0.257742
513;0.265235
514;0.261439
515;0.249584
516;0.265569
517;0.270726
518;0.298042
519;0.292465
520;0.294637
521;0.298156
522;0.253432
523;0.260883
524;0.257141
525;0.245176
526;0.261010
527;0.266077
528;0.293352
529;0.287782
530;0.289745
531;0.293213
532;0.249231
533;0.256640
534;0.252952
535;0.240883
536;0.256568
537;0.261546
538;0.288778
539;0.283217
540;0.284974
541;0.288392
542;0.245133
543;0.252502
544;0.248868
545;0.236703
546;0.252239
547;0.257128
548;0.284315
549;0.278766
550;0.280320
551;0.283690
552;0.241136
553;0.248466
554;0.244887
555;0.232630
556;0.248018
557;0.252820
558;0.279959
559;0.274426
560;0.275780
561;0.279102
562;0.237237
563;0.244529
564;0.241004
565;0.228661
566;0.243903
567;0.248619
568;0.275707
569;0.270193
570;0.271350
571;0.274626
572;0.233432
573;0.240688
574;0.237217
575;0.224794
576;0.239889
577;0.244521
578;0.271557
579;0.266063
580;0.267026
581;0.270258
582;0.229720
583;0.236940
584;0.233522
585;0.221024
586;0.235974
587;0.240523
588;0.267504
589;0.262033
590;0.262806
591;0.265995
592;0.226096
593;0.233281
594;0.229917
595;0.217349
596;0.232155
597;0.236622
598;0.263547
599;0.258101
600;0.258687
601;0.261833
602;0.222558
603;0.229710
604;0.226399
605;0.213765
606;0.228428
607;0.232815
608;0.259681
609;0.254262
610;0.254665
611;0.257769
612;0.219103
613;0.226222
614;0.222964
615;0.210270
616;0.224791
617;0.229099
618;0.255904
619;0.250515
620;0.250737
621;0.253800
622;0.215730
623;0.222817
624;0.219610
625;0.206860
626;0.221240
627;0.225470
628;0.252214
629;0.246856
630;0.246901
631;0.249924
632;0.212436
633;0.219491
634;0.216336
635;0.203533
636;0.217774
637;0.221927
638;0.248607
639;0.243282
640;0.243154
641;0.246138
642;0.209217
643;0.216241
644;0.213137
645;0.200287
646;0.214389
647;0.218467
648;0.245082
649;0.239792
650;0.239493
651;0.242439
652;0.206073
653;0.213067
654;0.210013
655;0.197118
656;0.211084
657;0.215087
658;0.241636
659;0.236381
660;0.235916
661;0.238825
